127.0.0.1, 2013-09-10 23:10:11, GET, /NOUVELLES_EN_LIGNE/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.207645
127.0.0.1, 2013-09-10 23:10:11, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 200, 0.207852
127.0.0.1, 2013-09-10 23:10:11, GET, /NOUVELLES_EN_LIGNE/static/images/favicon.ico, HTTP/1.1, 200, 0.014175
127.0.0.1, 2013-09-10 23:10:11, GET, /NOUVELLES_EN_LIGNE/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000343
127.0.0.1, 2013-09-10 23:10:11, GET, /NOUVELLES_EN_LIGNE/static/images/twitter.png, HTTP/1.1, 200, 0.000354
127.0.0.1, 2013-09-10 23:10:11, GET, /NOUVELLES_EN_LIGNE/static/images/facebook.png, HTTP/1.1, 200, 0.000628
127.0.0.1, 2013-09-10 23:10:11, GET, /NOUVELLES_EN_LIGNE/static/images/gplus-32.png, HTTP/1.1, 200, 0.000444
127.0.0.1, 2013-09-10 23:11:38, GET, /NOUVELLES_EN_LIGNE/default/index, HTTP/1.1, 200, 0.036523
127.0.0.1, 2013-09-10 23:11:38, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000409
127.0.0.1, 2013-09-10 23:11:42, GET, /admin/default/site, HTTP/1.1, 200, 0.035777
127.0.0.1, 2013-09-10 23:11:44, GET, /NOUVELLES_EN_LIGNE/default/index, HTTP/1.1, 200, 0.039599
127.0.0.1, 2013-09-10 23:11:44, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000523
127.0.0.1, 2013-09-10 23:11:50, GET, /admin/default/site, HTTP/1.1, 200, 0.039523
127.0.0.1, 2013-09-10 23:11:51, GET, /admin/default/logout, HTTP/1.1, 303, 0.025960
127.0.0.1, 2013-09-10 23:11:51, GET, /admin/default/index, HTTP/1.1, 200, 0.026034
127.0.0.1, 2013-09-10 23:12:08, GET, /, HTTP/1.1, 303, 0.000906
127.0.0.1, 2013-09-10 23:12:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.021761
127.0.0.1, 2013-09-10 23:12:08, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000433
127.0.0.1, 2013-09-10 23:12:26, GET, /, HTTP/1.1, 303, 0.000912
127.0.0.1, 2013-09-10 23:12:27, GET, /welcome/default/index, HTTP/1.1, 200, 0.072077
127.0.0.1, 2013-09-10 23:12:27, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000396
127.0.0.1, 2013-09-10 23:12:29, GET, /admin/default/index, HTTP/1.1, 200, 0.071466
127.0.0.1, 2013-09-10 23:12:31, POST, /admin/default/index, HTTP/1.1, 303, 0.039393
127.0.0.1, 2013-09-10 23:12:31, GET, /admin/default/site, HTTP/1.1, 200, 0.036102
127.0.0.1, 2013-09-10 23:12:32, GET, /NOUVELLES_EN_LIGNE/default/index, HTTP/1.1, 200, 0.074958
127.0.0.1, 2013-09-10 23:12:32, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000408
127.0.0.1, 2013-09-10 23:12:33, POST, /admin/default/check_version, HTTP/1.1, 200, 2.419641
127.0.0.1, 2013-09-11 17:15:02, GET, /, HTTP/1.1, 303, 0.000744
127.0.0.1, 2013-09-11 17:15:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.776109
127.0.0.1, 2013-09-11 17:15:04, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000560
127.0.0.1, 2013-09-11 17:15:06, GET, /admin/default/index, HTTP/1.1, 200, 0.265475
127.0.0.1, 2013-09-11 17:15:10, POST, /admin/default/index, HTTP/1.1, 303, 0.050383
127.0.0.1, 2013-09-11 17:15:10, GET, /admin/default/site, HTTP/1.1, 200, 0.051140
127.0.0.1, 2013-09-11 17:15:12, GET, /NOUVELLES_EN_LIGNE/default/index, HTTP/1.1, 200, 0.078739
127.0.0.1, 2013-09-11 17:15:13, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000385
127.0.0.1, 2013-09-11 17:15:21, GET, /NOUVELLES_EN_LIGNE/default/mynews.html, HTTP/1.1, 303, 0.031562
127.0.0.1, 2013-09-11 17:15:21, GET, /NOUVELLES_EN_LIGNE/default/user/login, HTTP/1.1, 200, 0.037414
127.0.0.1, 2013-09-11 17:15:21, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000380
127.0.0.1, 2013-09-11 17:15:25, POST, /NOUVELLES_EN_LIGNE/default/user/login, HTTP/1.1, 303, 0.475992
127.0.0.1, 2013-09-11 17:15:25, GET, /NOUVELLES_EN_LIGNE/default/index, HTTP/1.1, 200, 0.035037
127.0.0.1, 2013-09-11 17:15:25, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000508
127.0.0.1, 2013-09-11 17:15:27, GET, /NOUVELLES_EN_LIGNE/default/mynews.html, HTTP/1.1, 200, 0.027486
